           1     1.0347366333007812E-006    0.92165898617511521     
           2     3.5524368286132812E-007     5.3691275167785237     
           4     2.7418136596679685E-007     13.913043478260871     
           8     3.4928321838378908E-007     21.843003412969281     
          16     2.7537345886230469E-007     55.411255411255411     
          32     3.5524368286132812E-007     85.906040268456380     
          64     2.9444694519042971E-007     207.28744939271255     
         128     3.8027763366699218E-007     321.00313479623827     
         256     3.6001205444335938E-007     678.14569536423846     
         512     9.0003013610839842E-007     542.51655629139077     
        1024     9.7036361694335944E-007     1006.3882063882063     
        2048     8.1062316894531248E-007     2409.4117647058824     
        3072     1.1897087097167969E-006     2462.5250501002001     
        4096     1.5211105346679687E-006     2568.0250783699062     
        5120     1.8548965454101563E-006     2632.3907455012854     
        6144     1.5950202941894532E-006     3673.5426008968607     
        7168     2.0146369934082030E-006     3393.1360946745567     
        8192     2.0694732666015624E-006     3775.1152073732719     
        9216     2.1994113922119140E-006     3996.0975609756101     
       10240     3.9494037628173831E-006     2472.6833685481433     
       11264     2.4247169494628906E-006     4430.2851524090465     
       12288     2.7799606323242188E-006     4215.4373927958832     
       13312     2.7251243591308593E-006     4658.6176727909015     
       14336     3.0696392059326172E-006     4453.9029126213591     
       15360     2.9242038726806642E-006     5009.3762739502645     
       16384     3.3056735992431641E-006     4726.7219617742512     
       32768     5.5754184722900394E-006     5604.9604447295269     
       65536     7.9596042633056636E-006     7852.1491687883781     
      131072     1.3835430145263672E-005     9034.7751163191442     
      262144     2.5110244750976561E-005     9956.0957083175090     
      524288     4.8100948333740234E-005     10394.805452292441     
     1048576     9.0889930725097663E-005     11002.318870993127     
     2097152     1.8011093139648439E-004     11104.267711532351     
     4194304     4.5043945312499999E-004     8880.2168021680227     
     8388608     1.1799657344818116E-003     6779.8578943593175     
    16777216     2.4254751205444337E-003     6596.6456899415916     
    33554432     4.8708748817443848E-003     6569.6616679548097     
    67108864     9.7107446193695074E-003     6590.6377428917858     
   134217728     1.9365984201431274E-002     6609.5272343834686     
   268435456     3.8680219650268556E-002     6618.3698622875481     
   536870912     7.7236224412918095E-002     6629.0138324571672     
