1 0.000001 1.814059
2 0.000000 5.860806
4 0.000000 15.841584
8 0.000000 24.242424
16 0.000000 62.135922
32 0.000000 96.969697
64 0.000000 234.862385
128 0.000000 343.624161
256 0.000000 728.825623
512 0.000001 567.313019
1024 0.000001 1077.894737
2048 0.000001 2471.191554
3072 0.000001 2536.222910
4096 0.000001 2712.582781
5120 0.000002 2767.567568
6144 0.000002 3619.440353
7168 0.000002 3541.939469
8192 0.000002 3839.250146
9216 0.000002 4186.712095
10240 0.000003 2924.669761
11264 0.000002 4762.790698
12288 0.000003 4406.275213
13312 0.000003 4891.869545
14336 0.000003 4527.753652
15360 0.000003 5094.527363
16384 0.000003 4677.801570
32768 0.000005 5702.501631
65536 0.000008 8008.064762
131072 0.000013 9310.744095
262144 0.000026 9621.287333
524288 0.000048 10310.228362
1048576 0.000092 10867.198673
2097152 0.000181 11043.309066
4194304 0.000465 8610.301744
8388608 0.001181 6771.457084
16777216 0.002440 6557.820316
33554432 0.004867 6574.905841
67108864 0.009913 6456.002610
134217728 0.019455 6579.119789
268435456 0.038876 6585.023552
536870912 0.078305 6538.503555
